Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Williams,Williams College,Sidearm,https://ephsports.williams.edu/sports/womens-soccer,https://ephsports.williams.edu/sports/mens-soccer
Hamilton,Hamilton College,Sidearm,https://athletics.hamilton.edu/sports/womens-soccer,https://athletics.bowdoin.edu/sports/mens-soccer/opponent-history/hamilton-college/73
Middlebury,Middlebury College,Sidearm,None,None
Coast Guard,U.S. Coast Guard Academy,Sidearm,https://coastguardathletics.com/sports/womens-soccer,https://coastguardathletics.com/sports/mens-soccer
Babson,Babson College,Sidearm,https://babsonathletics.com/sports/womens-soccer,https://babsonathletics.com/sports/mens-soccer
Clark (MA),Clark University,Sidearm,https://clarkpenguins.com/sports/womens-soccer,https://clarkpenguins.com/sports/mens-soccer
Emerson,Emerson College,Sidearm,https://emersonlions.com/sports/womens-soccer,https://emersonlions.com/sports/mens-soccer
MIT,MIT,Sidearm,https://mitathletics.com/sports/womens-soccer,https://mitathletics.com/sports/mens-soccer
Springfield,Springfield College,Sidearm,https://springfieldcollegepride.com/sports/womens-soccer,https://springfieldcollegepride.com/sports/mens-soccer
WPI,Worcester Polytechnic Institute,Sidearm,https://athletics.wpi.edu/sports/womens-soccer,https://brandeisjudges.com/sports/mens-soccer/opponent-history/wpi/142
Wheaton (MA),Wheaton College (Mass.),Sidearm,https://athletics.wheaton.edu/sports/womens-soccer,https://athletics.wheaton.edu/sports/mens-soccer
Salve Regina,Salve Regina University,Sidearm,https://salveathletics.com/sports/womens-soccer,https://salveathletics.com/sports/mens-soccer
Kean,Kean University,Sidearm,https://keanathletics.com/sports/womens-soccer,https://keanathletics.com/news/2024/8/30/mens-soccer-mens-soccer-blanks-hunter-in-season-opener-munoz-notches-first-career-coaching-victory.aspx
Montclair St.,Montclair State University,Sidearm,https://montclairathletics.com/sports/womens-soccer,https://www.montclair.edu/campus-recreation/mens-soccer/
New Jersey City,New Jersey City University,Sidearm,https://njcugothicknights.com/sports/womens-soccer,https://rutgersnewarkathletics.com/sports/mens-soccer/opponent-history/new-jersey-city-university/6
Ramapo,Ramapo College,Sidearm,https://ramapoathletics.com/sports/womens-soccer,https://ramapoathletics.com/sports/mens-soccer
